BlocPalX Proof Of Reserves Source File
Proof Id: 27 June 2023
proofSentenceHash,proofBalanceString,proofRewardCode
1ebbd60bbaeacb5170f6664fa978ae15e8788c0488b32ebb9bcc610b18988e90,6.72909851 BTC:5.17708755 USDT20:3.55306680 STO55:788.44893458 XMR:0.00002401 USD:91.92638286 ETH:149836.77566774 XRP:1.19428181 USDC,NZ64QL
9cf6c6f057edae493fca846f87464b3e51b83e4ffe47ec6972cae526c36dc748,110256.82576483 XRP:785.07836914 XMR:1279146.10930400 EURT20:1396420.83156015 USDC:751.32286116 ETH:48.52514398 BTC:887413.53594154 USDT20:101008.73939948 STO55:186854.65880855 USD,TNveKv
02bc53f6243bf2f18fb9eb2ea8b10b1315149e9474b3c4f506039c6500f59425,0.00003000 XRP,ZsEWyj
5ac4249a5cdb03c72448b0d2a075ca3c921ac8b48d0cf4f6dc119c60ce68df95,638.65500162 XMR:301.78878576 XRP:368134.72639996 EURT20:399769.83082834 USDC:0.00681644 BTC:189.93607035 ETH:400005.25283661 USDT20,pqPtfF
a6d39ba5907f7020521877f3e55099b2e56b5ee352d4d5857055751649b5353b,150.45987157 XRP:0.00347937 BTC:0.01000838 XMR,2gtWrF
41c2c509df2b44f004ebed920a35cbff4d6a16fb0aadaeb726d05b5e628fa571,0.00141000 BTC,qNn9YE
688431118537ea22db22fe76888a706e77c6c8581901c72f85528e2421303cc6,0.00565534 BTC,NWi7TF
a5334837e13d3510fbb36e78cd73033e23cc3ac72c84290ad3256afe9bc6d658,0.00514834 BTC:428.03806702 USDT20:22.52589664 USD,qYsCRZ
a44355de2193f75ccaf6dbe80225715828c01edfd185391bccfe95d80d4645ae,532.00000000 USD:2906.46730439 USDC:2283.13544128 USDT20:1.09249734 ETH:2266.82964084 EURT20,ZgKQ3h
817d4c92ede985e8c83f84db69673d1bb9c3e5562c9826ba92bb83f352947dfa,0.00668479 BTC:0.23137105 ETH:114.85589490 USDT20:194.61294377 EURT20:22.97997525 USDC,xPfKh2
eb882c73a6d13722db6d19773a92964d320a5c440cacdce75fa6a84094f9b25d,0.01039531 BTC:447.00000000 USD,AnU4hX
95beb89d843e0258609186753446d3824643672204a45692bfa683226d19a72e,0.00802821 BTC:4.02027106 USD,YjaRs7
2e2e1deb8e26284c14bdd44681840d48ae7ce916d26a83dd187f6df109beaa89,355.63178241 USDC:0.00809565 BTC:383.66492761 USDT20:63.04362967 EURT20,UevPEZ
e5555d17e68ca67204383ac3ca207270ef21772c078c3fc2c7e95c0b1651b160,0.00080000 BTC:20.90908164 USD,NyXjQd
86c9fa477e97ab2740c6eba07e6c557c9be125a7375d5c62088602e676ec6a2a,0.41568234 USD,fGtJYU
5976ce035fdbe6b31a5b6a494b9cc68f7c81114474879f83a3779eb960999c23,151.84278350 USDC:170.85077381 USDT20:0.00214310 BTC:0.03958796 ETH:19.17177302 EURT20,NRVtak
b1401114754c02dd8e0d8ac5dec5dc41b8264d81b229e43554637dace0e2b3c0,0.19960000 XMR:0.00100894 BTC:278.75652569 USDT20:91.90484264 USDC:0.06000000 ETH:73.94826734 EURT20,WMXFtu
38d29c054b02630228fefaf9d41bb570df5e47d571ea3017b372d1bf7a8c9bfd,528.00000000 USD,7JxiiL
16870e3ed4c0aa4c1e45e1a102ef9e62ba367ecb61811fffa8c635f21ee2e403,0.66380234 ETH:3.23320467 XMR:5.03862315 USD:3674.79032788 USDT20:0.03601957 BTC:3102.78740495 USDC:3243.68140584 EURT20,xsV6jt
7b025e12f4dca9532115864608ad7bd6dd41df80a0c8f7ba7848bc9abfad8574,296.69280724 USDC:0.00659663 BTC:0.21019472 ETH:469.25196809 EURT20:483.57762879 USDT20,Gib2FA
05cc3ee8388551a37f2bc6c71fc1fdfeb5816af9f1c122783dbfa648b5399293,2398.06566318 EURT20:2264.52964908 USDC:2522.41658290 USDT20:0.37647427 ETH,Y6iDJj
f98842f97c30459cccf00791ffee27a32e0b99183b551da71e73318d65f49a3d,0.00550973 BTC:0.21353071 ETH:791.06505700 EURT20:916.21212171 USDT20:686.68227045 USDC,LRfL6p
f3aba418a5fd1ec1a0814662516a20646a6ddc89f5bd29bbf634b499acbe0b13,0.04863839 ETH:325.86717980 USDC:384.99643942 EURT20:202.07618272 USDT20,HDcUfT
