TxQuick Proof Of Reserves Source File
Proof Id: April 2021
proofSentenceHash,proofBalanceString,proofRewardCode
bc8349b5cab606c570b435a1b0d40c09ac032d2e988fa373d728e87d4b69ef84,7.211603122 BTC : 1117.387169666 XMR : 223.431175382 ETH : 11.336783791 USDT20 : 270243.507479250 XRP : 3.553066802 STO55,6jy97u
b1038bff973188771badde1830ceab312d6fbce01130bf62c16411e37734980b,49.898924350 BTC : 7010.074431438 XRP : 627.540783209 ETH : 202868.129470206 USDT20 : 101008.739399482 STO55 : 505.626103570 XMR,agPqWF
e0dc31258a79e5a132e6811176d10ea805d9a99610a67a0bbe748d208ee32a02,0.000030000 XRP,7kXkc7
ae1894f0e286ab107345635b6907d4b3475e1cdfa77bb266760d94bbe803a366,0.006082158 BTC : 18.640879146 USDT20 : 301.788785760 XRP : 0.240299707 ETH : 1.061085840 XMR,4XohRg
473e1417c178417ac9e5c8d7e8aa159f5fe3caef4fef7664f82872714188d74d,none,ahHaMD
d63caf66264a6ff1388238597d9cd8b11de172a1257847f3ce617e72cbff1eae,none,dEHRx7
2d5bad8f5eb453f3aae7672f5679fbb4bdf6c030ed0ca29a005822f72fdfe21f,none,fTziVD
d0510b874adc4def4d0cfe60cad5cf05adf1b0bc8d8b2dea2c70a91433a449ed,0.003479374 BTC : 150.459871570 XRP : 0.010008383 XMR,4RCWj2
173866f773c001f5c616a52dca80f57ae4c3b5c92a64306ced8ed91db7e6b40f,none,yWfmVY
3a8beaaff5b77c48ad24d96cac864cb29c09be34c79c8036c679577e28caacd3,none,CCvLVG
9c0cfda375b0546b767caa321bb96aeb1d95eef72ae7f688d492942fcd11922e,none,vMkJqm
5c08205cabd63b0f8841de55fad5fc0241353d1134e75fab1b79a7025604b221,none,G4pomN
76f46770a0d539892d38ecc3c2dc05c404bf5637bbc87286ddd7ebb3edaf5618,none,vhFqUQ
956c96d0a3a45d40212c02894463455acad9a9e81fafa069a0c990774b85a6f3,none,PUq4ZG
4244496f889a10cfd5ce3cdd013313026ab828f84f3fc677f0e344ccf4263405,none,VqRrhm
